# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
8.69152242	-94.51511991
8.70632910	-91.01131863
8.72113578	-96.58936828
8.73594247	-97.66056365
8.75074915	-90.28703061
8.76555583	-88.99915446
8.78036251	-91.43568097
8.79516919	-98.04584301
8.80997588	-91.05980703
8.82478256	-90.33795079
8.83958924	-91.98542560
8.85439592	-100.79282212
8.86920260	-100.07926056
8.88400929	-103.55295767
8.89881597	-92.04996823
8.91362265	-88.88719232
8.92842933	-88.38434999
8.94323602	-88.49986785
8.95804270	-90.19413996
8.97284938	-96.01706351
8.98765606	-88.62713518
9.00246274	-89.88395758
9.01726943	-99.32770076
9.03207611	-89.52712948
9.04688279	-96.50818098
9.06168947	-93.48414147
9.07649615	-92.17203131
9.09130284	-107.55307866
9.10610952	-92.46126936
9.12091620	-92.40837090
9.13572288	-93.66888212
9.15052957	-95.85481835
9.16533625	-92.22323226
9.18014293	-88.67363781
9.19494961	-92.00182520
9.20975629	-88.22558179
9.22456298	-84.81854026
9.23936966	-89.42461046
9.25417634	-102.67492626
9.26898302	-91.90219941
9.28378970	-95.46952131
9.29859639	-97.32591909
9.31340307	-101.73143546
9.32820975	-94.32515697
9.34301643	-89.81945553
9.35782312	-90.67128857
9.37262980	-92.64908770
9.38743648	-92.31566534
9.40224316	-89.25089766
9.41704984	-89.67806558
9.43185653	-90.29726587
9.44666321	-91.34598920
9.46146989	-106.50653628
9.47627657	-89.21675069
9.49108325	-87.15584619
9.50588994	-104.16764280
9.52069662	-87.80255731
9.53550330	-88.35960964
9.55030998	-97.40700172
9.56511667	-98.11448920
9.57992335	-112.26080769
9.59473003	-96.12274732
9.60953671	-94.22772942
9.62434339	-100.38684586
9.63915008	-96.82114250
9.65395676	-106.13381984
9.66876344	-102.50340279
9.68357012	-91.00259941
9.69837680	-91.09254633
9.71318349	-102.14459009
9.72799017	-101.42881498
9.74279685	-94.22050294
9.75760353	-87.70637456
