# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T16:03:36
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.2 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
9.97970377	-90.08714202
9.99451045	-88.05345940
10.00931713	-88.87959703
10.02412381	-87.93518027
10.03893049	-85.89286208
10.05373718	-89.66159186
10.06854386	-95.33685832
10.08335054	-97.29904440
10.09815722	-90.37795084
10.11296390	-90.74564430
10.12777059	-94.66934032
10.14257727	-94.18220175
10.15738395	-114.64618247
10.17219063	-100.23210859
10.18699732	-96.48415050
10.20180400	-93.15812702
10.21661068	-112.29463106
10.23141736	-95.23367431
10.24622404	-97.38766234
10.26103073	-95.22637491
10.27583741	-94.44708304
10.29064409	-99.77046688
10.30545077	-92.25855930
10.32025745	-90.08458464
10.33506414	-112.95620403
10.34987082	-89.94657378
10.36467750	-90.93932796
10.37948418	-93.16981072
10.39429087	-92.49028651
10.40909755	-87.51964942
10.42390423	-86.76400829
10.43871091	-92.98166041
10.45351759	-92.89225219
10.46832428	-90.98319337
10.48313096	-93.29706705
10.49793764	-98.01851823
10.51274432	-103.68809702
10.52755101	-106.35970836
10.54235769	-97.89603211
10.55716437	-92.43350058
10.57197105	-99.97975675
10.58677773	-91.59823102
10.60158442	-86.99349579
10.61639110	-88.01735860
10.63119778	-91.11517766
10.64600446	-95.70957187
10.66081114	-86.61700864
10.67561783	-87.21439563
10.69042451	-91.89211344
10.70523119	-91.93964132
10.72003787	-94.03411839
10.73484456	-104.82775871
10.74965124	-93.74837644
10.76445792	-87.64531119
10.77926460	-86.46135699
10.79407128	-88.08742970
10.80887797	-90.02646457
10.82368465	-90.84949139
10.83849133	-89.16662609
10.85329801	-87.01911196
10.86810469	-87.10987979
10.88291138	-90.93602928
10.89771806	-96.33178060
10.91252474	-93.91281301
10.92733142	-106.84665100
10.94213811	-91.72215974
10.95694479	-89.69298336
10.97175147	-93.77617831
10.98655815	-92.79449007
11.00136483	-95.58960611
11.01617152	-100.30022115
11.03097820	-95.92144989
11.04578488	-94.03086301
11.06059156	-94.27740340
11.07539824	-95.00523930
11.09020493	-93.15419054
11.10501161	-88.82213037
11.11981829	-88.99949622
11.13462497	-93.97268857
11.14943166	-94.77059624
11.16423834	-88.96205428
11.17904502	-89.39827605
11.19385170	-95.52755152
11.20865838	-92.04516298
11.22346507	-88.31270043
11.23827175	-87.94886012
11.25307843	-91.97491390
11.26788511	-90.79769313
11.28269179	-89.34357000
11.29749848	-97.42038929
11.31230516	-97.52626837
11.32711184	-93.96480541
11.34191852	-97.33484157
11.35672521	-97.49805628
11.37153189	-92.85997280
11.38633857	-92.26595463
11.40114525	-85.11430473
11.41595193	-88.03489110
11.43075862	-92.93756051
11.44556530	-84.83323657
11.46037198	-91.61888479
11.47517866	-91.20562373
11.48998534	-88.35783780
11.50479203	-89.41214201
11.51959871	-93.32885335
11.53440539	-93.44254901
11.54921207	-90.33391517
11.56401876	-90.46295339
11.57882544	-90.65742113
11.59363212	-92.58912029
11.60843880	-89.61351961
11.62324548	-96.78261343
11.63805217	-89.76869037
11.65285885	-87.22343307
11.66766553	-88.81412972
11.68247221	-87.37392552
11.69727889	-102.82517922
11.71208558	-92.35004936
11.72689226	-95.69789969
11.74169894	-94.70200374
11.75650562	-90.37099166
11.77131231	-92.08834558
11.78611899	-95.71061769
11.80092567	-94.41093224
11.81573235	-96.70683668
11.83053903	-98.86049478
11.84534572	-96.58030035
11.86015240	-94.53196735
11.87495908	-88.15908853
11.88976576	-93.71310847
11.90457244	-107.19728898
11.91937913	-96.53978594
11.93418581	-95.68667798
11.94899249	-102.39722257
11.96379917	-106.17330304
11.97860586	-99.74198375
11.99341254	-95.26280043
12.00821922	-99.49500359
12.02302590	-93.81439086
12.03783258	-88.23253441
12.05263927	-93.64573026
12.06744595	-88.14315137
12.08225263	-87.08701055
12.09705931	-90.69204033
12.11186599	-101.20666938
12.12667268	-87.46206392
12.14147936	-87.00978384
12.15628604	-92.97102862
12.17109272	-88.26140896
12.18589941	-94.77887665
12.20070609	-96.73946435
12.21551277	-97.78253269
12.23031945	-95.89865366
12.24512613	-91.95132465
12.25993282	-92.95277666
12.27473950	-90.25766127
12.28954618	-90.35345449
12.30435286	-95.44658574
12.31915954	-91.25033030
12.33396623	-88.22910150
12.34877291	-90.92955707
12.36357959	-96.04978411
12.37838627	-87.66122618
12.39319296	-87.37957701
12.40799964	-95.25423257
12.42280632	-89.12098917
12.43761300	-90.22582233
12.45241968	-97.63039272
12.46722637	-106.61572904
12.48203305	-91.99615290
12.49683973	-89.74842823
12.51164641	-98.63163547
12.52645309	-100.28745374
12.54125978	-106.37326631
12.55606646	-91.50922734
12.57087314	-89.78789232
12.58567982	-92.79022760
12.60048651	-97.46825415
12.61529319	-96.42826252
12.63009987	-92.57521167
12.64490655	-88.47044373
12.65971323	-89.45940856
12.67451992	-107.94019704
12.68932660	-90.99612473
12.70413328	-89.06817456
12.71893996	-93.61133609
12.73374664	-95.84865587
12.74855333	-92.82310235
12.76336001	-97.05065366
12.77816669	-97.12733348
12.79297337	-95.53954828
12.80778006	-96.88196139
12.82258674	-96.96982172
12.83739342	-104.54455357
12.85220010	-93.60977747
12.86700678	-87.12915845
12.88181347	-90.16190502
12.89662015	-95.81479606
12.91142683	-85.44772026
12.92623351	-84.47427792
12.94104019	-86.61593605
12.95584688	-87.96865855
12.97065356	-89.53289035
12.98546024	-95.95831907
13.00026692	-96.56559904
13.01507361	-94.31797849
13.02988029	-94.51405953
13.04468697	-103.44915198
