# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:52:25
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
10.67561783	-90.41284227
10.69042451	-90.15545785
10.70523119	-86.21282446
10.72003787	-89.51175258
10.73484456	-98.85305132
10.74965124	-90.72690155
10.76445792	-84.63584937
10.77926460	-84.39091303
10.79407128	-87.94613637
10.80887797	-85.95650687
10.82368465	-86.08216629
10.83849133	-93.83928543
10.85329801	-98.25436571
10.86810469	-93.57911015
10.88291138	-92.23157080
10.89771806	-90.05512172
10.91252474	-90.11843313
10.92733142	-95.45719158
10.94213811	-96.18158998
10.95694479	-88.19262097
10.97175147	-87.73149218
10.98655815	-92.41450791
11.00136483	-102.82551331
11.01617152	-106.93521840
11.03097820	-111.79327968
11.04578488	-104.06684140
11.06059156	-99.22897008
11.07539824	-92.04671404
11.09020493	-88.45442657
11.10501161	-90.01667723
11.11981829	-94.28525882
11.13462497	-95.85666206
11.14943166	-97.78088121
11.16423834	-90.14617249
11.17904502	-89.80059135
11.19385170	-89.74097728
11.20865838	-89.22521449
11.22346507	-90.60201433
11.23827175	-91.85492872
11.25307843	-87.73384925
11.26788511	-86.42281779
11.28269179	-91.82540918
11.29749848	-104.95877473
11.31230516	-99.34746898
11.32711184	-90.01000891
11.34191852	-85.95410419
11.35672521	-87.72660029
11.37153189	-95.75767908
11.38633857	-96.50818197
11.40114525	-105.15722109
11.41595193	-100.91329854
11.43075862	-97.99038779
11.44556530	-89.24026238
11.46037198	-90.97493676
11.47517866	-110.38478900
11.48998534	-96.02953692
11.50479203	-95.86436307
11.51959871	-115.76242115
11.53440539	-91.95001678
11.54921207	-88.53567382
11.56401876	-87.94849129
11.57882544	-86.84515691
11.59363212	-84.60919540
11.60843880	-83.56841880
11.62324548	-87.12404267
11.63805217	-95.08098661
11.65285885	-90.97607172
11.66766553	-93.39992281
11.68247221	-96.45404242
11.69727889	-91.54109765
11.71208558	-94.37348896
11.72689226	-97.42263553
11.74169894	-90.41787042
11.75650562	-95.23685508
11.77131231	-96.53873929
11.78611899	-109.15375127
11.80092567	-90.04298751
11.81573235	-87.48632373
11.83053903	-92.91622555
11.84534572	-104.75184817
11.86015240	-94.22482420
11.87495908	-95.15201901
11.88976576	-96.53362416
11.90457244	-100.19561274
11.91937913	-91.23268528
11.93418581	-87.31588795
11.94899249	-89.91868337
11.96379917	-100.17503637
11.97860586	-96.03528368
11.99341254	-90.40932095
12.00821922	-91.06389234
12.02302590	-94.24217038
12.03783258	-91.87343777
12.05263927	-87.07843357
12.06744595	-86.32429529
12.08225263	-86.58421811
12.09705931	-88.94749756
12.11186599	-102.45048501
12.12667268	-91.49924580
12.14147936	-88.48184717
12.15628604	-87.29207323
12.17109272	-87.07763234
