# Frequency(Hz) Real(n) Imag(n)
3.726815555506752930e+11 2.040632508498908759e+00 3.434811213594173452e-03
3.742607146843646240e+11 2.040338744189301057e+00 5.780113086231588627e-03
3.758398738180539551e+11 2.040409463495572950e+00 8.373449225324663264e-03
3.774190329517432251e+11 2.040973890011775538e+00 1.134014702557713250e-02
3.789981920854325562e+11 2.042343435724412792e+00 1.492967178229090419e-02
3.805773512191218262e+11 2.045530580772911389e+00 1.978515001954459993e-02
3.821565103528111572e+11 2.058219027218083585e+00 2.223415877045924194e-02
3.837356694865004272e+11 2.062497733828367874e+00 1.368232361819634799e-02
3.853148286201897583e+11 2.063086380853649260e+00 8.074397709429602388e-03
3.868939877538790283e+11 2.062469082825533206e+00 3.723365795437166403e-03
3.884731468875683594e+11 2.009082179854706940e+00 5.819903013914188433e-02
3.900523060212576294e+11 2.001097438681704421e+00 6.016857154242083450e-02
3.916314651549469604e+11 1.993260576749766866e+00 6.177405241164666411e-02
3.932106242886362305e+11 1.985510701943866474e+00 6.312348280468270401e-02
3.947897834223255615e+11 1.977818259529916523e+00 6.430087580654511581e-02
3.963689425560148315e+11 2.049195214931275544e+00 -8.102951817706987789e-03
3.979481016897041626e+11 2.046612908023316191e+00 -8.041529872049897956e-03
3.995272608233934326e+11 2.044222162825151567e+00 -7.520048609136111874e-03
4.011064199570827637e+11 2.042087285463195734e+00 -6.624860481839786597e-03
4.026855790907720337e+11 2.040240260417460760e+00 -5.441328668765967567e-03
4.042647382244613647e+11 2.038687532380748735e+00 -4.041729383237364567e-03
4.058438973581506958e+11 2.037420340507677619e+00 -2.478565641898320803e-03
4.074230564918399658e+11 2.036425076588174399e+00 -7.826333565579146221e-04
4.090022156255292969e+11 2.035692184139398009e+00 1.036448622260802491e-03
4.105813747592185669e+11 2.035224190952423573e+00 2.989711618673538546e-03
4.121605338929078979e+11 2.035045364405693391e+00 5.110659001173747766e-03
4.137396930265971680e+11 2.035218714920042693e+00 7.462650928461092223e-03
4.153188521602864990e+11 2.035886516310377647e+00 1.015928719179748016e-02
4.168980112939757690e+11 2.037399464815761174e+00 1.342161751788704775e-02
4.184771704276651001e+11 2.041005046751717789e+00 1.774409278574961071e-02
4.200563295613543701e+11 2.051529429159482998e+00 1.742459054506839689e-02
4.216354886950437012e+11 2.054737377459972425e+00 1.084591039608759876e-02
4.232146478287329712e+11 2.055195284833008174e+00 6.090679629529737252e-03
4.247938069624223022e+11 2.054600543169022409e+00 2.318000102761890325e-03
4.263729660961115723e+11 2.005541284645117717e+00 5.347287454646133115e-02
4.279521252298009033e+11 1.998248112501583629e+00 5.518539605045198748e-02
4.295312843634901733e+11 1.991081925126821250e+00 5.659182140138158124e-02
4.311104434971795044e+11 1.983990036624334374e+00 5.778377089881397977e-02
4.326896026308687744e+11 1.976947927338114086e+00 5.883348927662664096e-02
4.342687617645581055e+11 2.042553391712063515e+00 -7.787282205481413540e-03
4.358479208982474365e+11 2.040262374499488551e+00 -7.646227350776088963e-03
4.374270800319367065e+11 2.038157026858866683e+00 -7.100463739211209171e-03
4.390062391656260376e+11 2.036290876923892323e+00 -6.228833306776975810e-03
